Time,EVID,CSID,WaitingNum,NumPorts,SOC
"31813000,012582,900002,2,2,0.199535",,,,,
"31978800,012807,900008,1,1,0.199753",,,,,
"35027800,015989,900000,1,1,0.199535",,,,,
"36669600,017674,900000,1,1,0.199415",,,,,
"36803400,017841,900000,1,1,0.199533",,,,,
"40762000,022570,900000,1,1,0.199415",,,,,
"44426600,026811,900000,1,1,0.199535",,,,,
"52237800,035083,900000,1,1,0.199415",,,,,
"52287100,035159,900000,1,1,0.199518",,,,,
"55806500,039595,900000,1,1,0.199531",,,,,
"56465200,040438,900000,1,1,0.199533",,,,,
"58671000,043348,900000,1,1,0.199145",,,,,
"59053100,043902,900000,1,1,0.199646",,,,,
"59086800,043910,900000,1,1,0.199407",,,,,
"59711600,044666,900000,1,1,0.199535",,,,,
"60611800,045863,900000,1,1,0.199534",,,,,
"60831800,046138,900000,1,1,0.199535",,,,,
"61180500,046637,900000,1,1,0.199535",,,,,
"61260300,046735,900000,1,1,0.199415",,,,,
"62991700,048853,900000,1,1,0.199415",,,,,
"66755400,052658,900000,1,1,0.199533",,,,,
"67022500,052870,900000,1,1,0.199414",,,,,
"67281600,053056,900000,1,1,0.199415",,,,,
"76440600,060252,900000,1,1,0.199535",,,,,
"81824500,063514,900000,1,1,0.199535",,,,,
