Time,EVID,CSID,WaitingNum,NumPorts,SOC
"31073200,011787,900000,2,2,0.199532",,,,,
"31338200,012084,900000,2,2,0.199414",,,,,
"31813100,012582,900000,2,2,0.199534",,,,,
"36480400,017469,900000,2,2,0.199412",,,,,
"36533200,017528,900000,2,2,0.199414",,,,,
"36571700,017567,900000,2,2,0.199415",,,,,
"56465200,040438,900000,2,2,0.199533",,,,,
"57743500,042156,900000,2,2,0.199534",,,,,
"57944300,042448,900000,2,2,0.199534",,,,,
"58218000,042782,900000,2,2,0.199414",,,,,
"59711700,044666,900002,2,2,0.199534",,,,,
"59806400,044754,900004,2,2,0.199212",,,,,
"59932300,044981,900002,2,2,0.199534",,,,,
"60163800,045303,900000,2,2,0.199646",,,,,
"61180700,046637,900000,2,2,0.199533",,,,,
"61260500,046735,900000,2,2,0.199413",,,,,
"64983200,051302,900000,2,2,0.199531",,,,,
"65810500,051959,900000,2,2,0.199534",,,,,
"69579300,055042,900000,2,2,0.199414",,,,,
"70192400,055636,900000,2,2,0.199533",,,,,
"74351500,058950,900000,2,2,0.199414",,,,,
