Type,Csid,Cgrid,Cap_kW,waitingLine,Vol_0min,Vol_30min,Vol_60min,ElapsedTime
F,90000401,1,0,0,0,0,0,780
F,90000800,0,0,0,0,0,0,780
F,90001000,0,0,0,0,0,0,780
F,90001200,0,0,0,0,0,0,780
F,90001201,1,0,0,0,0,0,780
F,90001600,0,0,0,0,0,0,780
F,90000000,0,90,1,1,0,0,840
F,90000001,1,0,1,0,0,0,840
F,90000200,0,0,0,0,0,0,840
F,90000201,1,0,0,0,0,0,840
F,90000400,0,0,0,0,0,0,840
F,90000401,1,0,0,0,0,0,840
F,90000800,0,0,0,0,0,0,840
F,90001000,0,0,0,0,0,0,840
F,90001200,0,0,0,0,0,0,840
F,90001201,1,0,0,0,0,0,840
F,90001600,0,0,0,0,0,0,840
F,90000000,0,90,1,1,0,0,900
F,90000001,1,0,1,0,0,0,900
F,90000200,0,0,0,0,0,0,900
F,90000201,1,0,0,0,0,0,900
F,90000400,0,0,0,0,0,0,900
F,90000401,1,0,0,0,0,0,900
F,90000800,0,0,0,0,0,0,900
F,90001000,0,0,0,0,0,0,900
F,90001200,0,0,0,0,0,0,900
F,90001201,1,0,0,0,0,0,900
F,90001600,0,0,0,0,0,0,900
F,90000000,0,90,1,1,0,0,960
F,90000001,1,0,1,0,0,0,960
F,90000200,0,0,0,0,0,0,960
F,90000201,1,0,0,0,0,0,960
F,90000400,0,0,0,0,0,0,960
F,90000401,1,0,0,0,0,0,960
F,90000800,0,0,0,0,0,0,960
F,90001000,0,0,0,0,0,0,960
F,90001200,0,0,0,0,0,0,960
F,90001201,1,0,0,0,0,0,960
F,90001600,0,0,0,0,0,0,960
F,90000000,0,90,1,1,0,0,1020
F,90000001,1,0,1,0,0,0,1020
F,90000200,0,0,0,0,0,0,1020
F,90000201,1,0,0,0,0,0,1020
F,90000400,0,0,0,0,0,0,1020
F,90000401,1,0,0,0,0,0,1020
F,90000800,0,0,0,0,0,0,1020
F,90001000,0,0,0,0,0,0,1020
F,90001200,0,0,0,0,0,0,1020
F,90001201,1,0,0,0,0,0,1020
F,90001600,0,0,0,0,0,0,1020
F,90000000,0,90,1,1,0,0,1080
F,90000001,1,0,1,0,0,0,1080
F,90000200,0,0,0,0,0,0,1080
F,90000201,1,0,0,0,0,0,1080
F,90000400,0,0,0,0,0,0,1080
F,90000401,1,0,0,0,0,0,1080
F,90000800,0,0,0,0,0,0,1080
F,90001000,0,0,0,0,0,0,1080
F,90001200,0,0,0,0,0,0,1080
F,90001201,1,0,0,0,0,0,1080
F,90001600,0,0,0,0,0,0,1080
F,90000000,0,90,1,1,0,0,1140
F,90000001,1,0,1,0,0,0,1140
F,90000200,0,0,0,0,0,0,1140
F,90000201,1,0,0,0,0,0,1140
F,90000400,0,0,0,0,0,0,1140
F,90000401,1,0,0,0,0,0,1140
F,90000800,0,0,0,0,0,0,1140
F,90001000,0,0,0,0,0,0,1140
F,90001200,0,0,0,0,0,0,1140
F,90001201,1,0,0,0,0,0,1140
F,90001600,0,0,0,0,0,0,1140
F,90000000,0,90,1,1,0,0,1200
F,90000001,1,0,1,0,0,0,1200
F,90000200,0,0,0,0,0,0,1200
F,90000201,1,0,0,0,0,0,1200
F,90000400,0,0,0,0,0,0,1200
F,90000401,1,0,0,0,0,0,1200
F,90000800,0,0,0,0,0,0,1200
F,90001000,0,0,0,0,0,0,1200
F,90001200,0,0,0,0,0,0,1200
F,90001201,1,0,0,0,0,0,1200
F,90001600,0,0,0,0,0,0,1200
F,90000000,0,90,1,1,0,0,1260
F,90000001,1,0,1,0,0,0,1260
F,90000200,0,0,0,0,0,0,1260
F,90000201,1,0,0,0,0,0,1260
F,90000400,0,0,0,0,0,0,1260
F,90000401,1,0,0,0,0,0,1260
F,90000800,0,0,0,0,0,0,1260
F,90001000,0,0,0,0,0,0,1260
F,90001200,0,0,0,0,0,0,1260
F,90001201,1,0,0,0,0,0,1260
F,90001600,0,0,0,0,0,0,1260
F,90000000,0,90,1,1,0,0,1320
F,90000001,1,0,1,0,0,0,1320
F,90000200,0,0,0,0,0,0,1320
F,90000201,1,0,0,0,0,0,1320
F,90000400,0,0,0,0,0,0,1320
F,90000401,1,0,0,0,0,0,1320
F,90000800,0,0,0,0,0,0,1320
F,90001000,0,0,0,0,0,0,1320
F,90001200,0,0,0,0,0,0,1320
F,90001201,1,0,0,0,0,0,1320
F,90001600,0,0,0,0,0,0,1320
F,90000000,0,90,1,1,0,0,1380
F,90000001,1,0,1,0,0,0,1380
F,90000200,0,0,0,0,0,0,1380
F,90000201,1,0,0,0,0,0,1380
F,90000400,0,0,0,0,0,0,1380
F,90000401,1,0,0,0,0,0,1380
F,90000800,0,0,0,0,0,0,1380
F,90001000,0,0,0,0,0,0,1380
F,90001200,0,0,0,0,0,0,1380
F,90001201,1,0,0,0,0,0,1380
F,90001600,0,0,0,0,0,0,1380
F,90000000,0,90,1,1,0,0,1440
F,90000001,1,0,1,0,0,0,1440
F,90000200,0,0,0,0,0,0,1440
F,90000201,1,0,0,0,0,0,1440
F,90000400,0,0,0,0,0,0,1440
F,90000401,1,0,0,0,0,0,1440
F,90000800,0,0,0,0,0,0,1440
F,90001000,0,0,0,0,0,0,1440
F,90001200,0,0,0,0,0,0,1440
