#+ Filtered mapPosition.txt - removed positions for deleted nodes
0,-2581.0,-2959.0,0
4,-3850.0,-2858.0,0
17,-2155.0,-3745.0,0
32,-2858.0,-2941.0,0
57,-3066.0,-2951.0,0
81,-2939.0,-2959.0,0
126,-2497.0,-3539.0,0
169,722.0,-4843.0,0
175,-8.0,-4122.0,0
179,-1910.0,-3149.0,0
194,-1225.0,-153.0,0
204,2750.0,-3186.0,0
210,-2202.0,-3050.0,0
214,2630.0,-1416.0,0
244,1794.0,-710.0,0
245,1452.0,-512.0,0
246,670.0,-507.0,0
248,2259.0,-1146.0,0
249,-423.0,-342.0,0
253,312.0,-421.0,0
254,-150.0,-438.0,0
255,-498.0,-305.0,0
256,-340.0,-382.0,0
257,2168.0,-1061.0,0
275,245.0,-119.0,0
328,-877.0,-3604.0,0
402,1568.0,-3631.0,0
414,1142.0,-3940.0,0
415,1204.0,-3855.0,0
457,260.0,573.0,0
464,667.0,1615.0,0
466,459.0,1163.0,0
475,-2382.0,-3004.0,0
522,-1608.0,-3254.0,0
525,-3947.0,975.0,0
551,-995.0,-3194.0,0
613,-2031.0,-18.0,0
623,276.0,-271.0,0
624,2884.0,-2512.0,0
651,-1546.0,-122.0,0
660,-1391.0,-3823.0,0
666,-2473.0,-2957.0,0
668,-413.0,-2297.0,0
683,-1005.0,-169.0,0
713,-1778.0,-94.0,0
716,548.0,1361.0,0
739,2938.0,-2197.0,0
826,-246.0,-2033.0,0
885,-2211.0,50.0,0
887,-1545.0,-4060.0,0
892,588.0,1443.0,0
934,-1663.0,-99.0,0
956,2655.0,-3276.0,0
1005,2350.0,-3444.0,0
1010,260.0,26.0,0
1012,-1159.0,1271.0,0
1023,1811.0,-3531.0,0
1031,-1997.0,-5010.0,0
1035,299.0,-1039.0,0
1036,369.0,-738.0,0
1037,328.0,-503.0,0
1045,-2773.0,-3401.0,0
1048,279.0,-1150.0,0
1049,-103.0,-1814.0,0
1060,-2626.0,-2908.0,0
1064,-2765.0,-2912.0,0
1070,1283.0,-3772.0,0
1086,-585.0,-4909.0,0
1087,3558.0,-1775.0,0
1088,2914.0,-1620.0,0
1113,-177.0,-1922.0,0
1123,362.0,3049.0,0
1196,-622.0,-2620.0,0
1281,2895.0,-1709.0,0
1309,1053.0,-4054.0,0
1347,2748.0,-2947.0,0
1365,-3879.0,-3187.0,0
1379,-2112.0,384.0,0
1384,2941.0,-2326.0,0
1395,1324.0,-3723.0,0
1400,232.0,411.0,0
1401,297.0,156.0,0
1407,3429.0,-795.0,0
1425,-911.0,1999.0,0
1437,-3865.0,-3238.0,0
1442,-264.0,-3861.0,0
1443,463.0,-4508.0,0
1445,-2896.0,-3172.0,0
1446,-1176.0,-3480.0,0
1447,629.0,1537.0,0
1448,389.0,1013.0,0
1449,296.0,755.0,0
1458,-878.0,-191.0,0
1459,-689.0,-214.0,0
1460,-581.0,-263.0,0
1461,70.0,-407.0,0
1468,902.0,-528.0,0
1469,1289.0,-513.0,0
1470,1975.0,-874.0,0
1471,-2372.0,124.0,0
3003,317.0,999.0,0
3012,346.0,155.0,0
3030,-2389.0,40.0,0
3031,-2062.0,384.0,0
3032,-1185.0,1313.0,0
3033,-864.0,2018.0,0
3040,2698.0,-2939.0,0
5001,-1239.0,-3578.0,0
5003,-844.0,-2964.0,0
5005,266.0,594.0,0
5006,-1929.0,-3839.0,0
5008,-3372.0,-3005.0,0
5010,2346.0,-1234.0,0
5011,-1137.0,-4390.0,0
5013,-1303.0,-1366.0,0
900000,-1281.27,-3551.3,0
900001,-1302.41,-3537.95,0
900002,-802.095,-2991.28,0
900003,-781.143,-3004.91,0
900004,314.669,582.54,0
900005,339.003,576.81,0
900006,-1906.88,-3794.16,0
900007,-1895.83,-3771.74,0
900008,-3356.37,-2957.51,0
900009,-3348.56,-2933.76,0
900010,2314.54,-1272.86,0
900011,2298.81,-1292.29,0
900012,-1104.13,-4352.32,0
900013,-1087.7,-4333.48,0
900014,-1253.96,-1375.75,0
900015,-1229.44,-1380.62,0
